Element & Symbol,Electronegativity,Atomic Radii (pm),Thermal Conductivity (W/m·K),Melting Point (K),Density (kg/m3),Crystal structure,Electrical Conductivity (S/m) x 10^-06,Resistivity (n?·m),Gibbs Free Energy (kJ/mol),Standard Electrode Potential (V),Specific Capacity (mAh/g),Ionization Energy (kJ·mol-1),Electron Affinity (kJ·mol-1)
Al-10Zn,1.61,143,113,658,2780,FCC,3.56,28.1,-192.6,-1.7,2400,577.6,-42
Al-3Li,1.47,122,208,933,2680,FCC,3.78,26.4,-37.6,-3.04,900,520.2,-28
Al-10Si,1.9,117,150,850,2700,FCC,2.99,33.4,-382.2,-0.97,1000,786.5,-134
Al-10Ti,1.54,147,20.1,1933,4510,HCP,2.34,42.7,-400.0,-1.64,1000,658.8,-8
Al-10Mg,1.31,160,139,923,1740,HCP,3.7,27,-318.2,-2.37,1100,737.7,-31
Al-5Zn,1.61,143,119,659,2720,Cubic,3.84,26,-148.9,-1.58,2000,577.5,-42
Al-1Li,1.82,134,237,933,2080,Cubic,11.3,8.85,22.1,-3.04,160,520.2,-28
Al-5Si,1.9,117,150,850,2710,Cubic,3.48,28.7,-248.1,-0.33,1000,786.5,-134
Al-5Ti,1.54,136,21.9,1941,4510,HCP,2.08,48,-281.1,-1.63,1100,658.8,-8
Al-5Mg,1.31,160,156,923,1738,HCP,3.5,28.6,-225.7,-2.35,1200,737.7,-31
